Type of professional,Province/territory,Health region,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Licensed practical nurses,Manitoba,Manitoba (regional health authorities) (total),2941,3008,3064,3113,3248,3247,3372,3193,3220,3260
Licensed practical nurses,Manitoba,Winnipeg-Churchill Health Region,1193,1235,1248,1306,1360,1383,1462,1429,1432,1443
Licensed practical nurses,Manitoba,Prairie Mountain Health Region,831,841,858,847,868,868,916,853,853,878
Licensed practical nurses,Manitoba,Interlake-Eastern Health Region,282,297,303,311,325,317,314,289,308,311
Licensed practical nurses,Manitoba,Northern Health Region,154,150,143,136,134,129,129,123,114,129
Licensed practical nurses,Manitoba,Southern Health Region,481,485,512,513,560,549,540,493,504,492
Licensed practical nurses,Manitoba,Other*,0,0,0,0,1,1,11,6,9,7
Licensed practical nurses,Saskatchewan,Saskatchewan (regional health authorities) (total),3073,3188,3159,3104,3027,3275,3255,3261,3348,3381
Licensed practical nurses,Saskatchewan,Far North Zone,54,60,57,64,36,42,37,37,45,38
Licensed practical nurses,Saskatchewan,North Central West Zone,328,337,320,313,301,341,332,341,356,372
Licensed practical nurses,Saskatchewan,North Central East Zone,387,398,419,406,355,407,388,387,397,384
Licensed practical nurses,Saskatchewan,Saskatoon Zone,654,699,691,680,654,710,721,733,751,776
Licensed practical nurses,Saskatchewan,South West Zone,350,369,365,353,293,305,299,287,289,303
Licensed practical nurses,Saskatchewan,South East Zone,545,554,531,512,486,504,499,492,501,511
Licensed practical nurses,Saskatchewan,Regina Zone,749,767,774,775,704,774,797,794,804,784
Licensed practical nurses,Saskatchewan,Other*,6,4,2,1,198,192,182,190,205,213
Licensed practical nurses,Alberta,Alberta (regional health authorities) (total),10221,10954,11504,11248,12130,13060,13661,13844,14247,14149
Licensed practical nurses,Alberta,South Zone,888,931,971,949,993,1045,1068,1048,1082,1129
Licensed practical nurses,Alberta,Calgary Zone,3031,3316,3580,3459,3813,4141,4399,4474,4692,4684
Licensed practical nurses,Alberta,Central Zone,1468,1533,1610,1558,1679,1768,1824,1824,1829,1799
Licensed practical nurses,Alberta,Edmonton Zone,3705,4002,4142,4133,4397,4754,4951,5165,5322,5227
Licensed practical nurses,Alberta,North Zone,1129,1172,1201,1149,1198,1274,1322,1316,1307,1293
Licensed practical nurses,Alberta,Other*,0,0,0,0,50,78,97,17,15,17
Licensed practical nurses,British Columbia,British Columbia (health service delivery areas) (total),9993,10250,10138,10527,10773,11228,12001,12259,12344,12811
Licensed practical nurses,British Columbia,East Kootenay HSDA,228,215,209,223,228,237,246,256,262,279
Licensed practical nurses,British Columbia,Kootenay-Boundary HSDA,187,191,176,186,187,184,196,181,173,171
Licensed practical nurses,British Columbia,Okanagan HSDA,1251,1283,1279,1323,1358,1414,1484,1471,1462,1501
Licensed practical nurses,British Columbia,Thompson/Cariboo HSDA,549,566,541,561,591,623,685,681,735,731
Licensed practical nurses,British Columbia,Fraser East HSDA,641,676,687,718,770,789,835,890,891,934
Licensed practical nurses,British Columbia,Fraser North HSDA,1133,1194,1172,1195,1221,1261,1371,1408,1428,1528
Licensed practical nurses,British Columbia,Fraser South HSDA,1491,1519,1529,1531,1542,1608,1701,1812,1827,1854
Licensed practical nurses,British Columbia,Richmond HSDA,203,202,202,214,218,223,275,296,308,312
Licensed practical nurses,British Columbia,Vancouver HSDA,1210,1162,1212,1253,1274,1339,1503,1617,1614,1752
Licensed practical nurses,British Columbia,North Shore/Coast Garibaldi HSDA,477,497,452,505,505,551,562,550,550,564
Licensed practical nurses,British Columbia,South Vancouver Island HSDA,892,905,921,936,937,993,1054,1032,1016,1041
Licensed practical nurses,British Columbia,Central Vancouver Island HSDA,798,769,740,775,797,849,914,909,921,946
Licensed practical nurses,British Columbia,North Vancouver Island HSDA,278,293,307,321,348,345,382,386,397,406
Licensed practical nurses,British Columbia,Northwest HSDA,154,163,154,159,153,157,153,142,142,146
Licensed practical nurses,British Columbia,Northern Interior HSDA,370,386,387,393,401,410,431,426,442,458
Licensed practical nurses,British Columbia,Northeast HSDA,129,130,118,130,139,150,150,145,132,145
Licensed practical nurses,British Columbia,Other*,2,99,52,104,104,95,59,57,44,43
Licensed practical nurses,Yukon,Yukon (total),107,104,,,,,,,,
Licensed practical nurses,Northwest Territories,Northwest Territories (total),105,115,105,104,111,135,,144,160,
Licensed practical nurses,Nunavut,Nunavut (total),,,,,,,,,,
Licensed practical nurses,Northwest Territories/Nunavut,Northwest Territories/Nunavut (total),,,,,,,,,,
Licensed practical nurses,Jurisdictions with available data,Jurisdictions with available data (total),97931,101269,102977,104357,105405,113193,114826,116764,118924,116744
