Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nurse practitioners,Jurisdictions with available data,Employment status,Not employed and not seeking employment in profession,17.00,23.00,21.00,32.00,21.00,43.00,40.00,40.00,39.00,36.00
Nurse practitioners,Jurisdictions with available data,Employment status,Not stated,166.00,189.00,200.00,221.00,153.00,195.00,199.00,216.00,209.00,193.00
Nurse practitioners,Jurisdictions with available data,Location of graduation,Canadian educated,4130.00,4594.00,5030.00,5438.00,5839.00,6377.00,7052.00,7826.00,8580.00,9313.00
Nurse practitioners,Jurisdictions with available data,Location of graduation,Internationally educated,197.00,209.00,241.00,251.00,272.00,294.00,342.00,374.00,407.00,436.00
Nurse practitioners,Jurisdictions with available data,Location of graduation,Not stated,10.00,10.00,3.00,7.00,5.00,5.00,6.00,5.00,12.00,18.00
Nurse practitioners,Jurisdictions with available data,Years since graduation,<5 years,278.00,291.00,264.00,91.00,79.00,103.00,348.00,705.00,1017.00,1273.00
Nurse practitioners,Jurisdictions with available data,Years since graduation,5-10 years,827.00,983.00,1120.00,1348.00,1387.00,1493.00,1455.00,1458.00,1412.00,1342.00
Nurse practitioners,Jurisdictions with available data,Years since graduation,11-20 years,1360.00,1600.00,1778.00,2043.00,2367.00,2695.00,3089.00,3440.00,3813.00,4205.00
Nurse practitioners,Jurisdictions with available data,Years since graduation,21-30 years,1089.00,1058.00,1145.00,1182.00,1218.00,1257.00,1303.00,1337.00,1440.00,1596.00
Nurse practitioners,Jurisdictions with available data,Years since graduation,31+ years,790.00,890.00,959.00,1023.00,1096.00,1126.00,1201.00,1257.00,1304.00,1340.00
Nurse practitioners,Jurisdictions with available data,Years since graduation,Not stated,10.00,14.00,10.00,10.00,13.00,2.00,4.00,5.00,11.00,11.00
Registered nurses,Newfoundland and Labrador,Supply,Total,6008.00,6023.00,5969.00,5869.00,5771.00,5835.00,5944.00,5927.00,6102.00,6315.00
Registered nurses,Newfoundland and Labrador,Age,Age <25,254.00,273.00,268.00,254.00,257.00,284.00,303.00,292.00,301.00,314.00
Registered nurses,Newfoundland and Labrador,Age,Age 25-34,1425.00,1431.00,1462.00,1472.00,1405.00,1455.00,1456.00,1467.00,1533.00,1556.00
Registered nurses,Newfoundland and Labrador,Age,Age 35-44,1506.00,1490.00,1463.00,1439.00,1451.00,1451.00,1480.00,1508.00,1587.00,1700.00
Registered nurses,Newfoundland and Labrador,Age,Age 45-54,1877.00,1901.00,1829.00,1784.00,1721.00,1644.00,1589.00,1548.00,1536.00,1514.00
Registered nurses,Newfoundland and Labrador,Age,Age 55-64,837.00,817.00,837.00,816.00,828.00,869.00,968.00,982.00,1013.00,1085.00
Registered nurses,Newfoundland and Labrador,Age,Age 65+,109.00,111.00,110.00,104.00,109.00,132.00,148.00,130.00,132.00,146.00
Registered nurses,Newfoundland and Labrador,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Newfoundland and Labrador,Age,Average age,42.70,42.60,42.60,42.50,42.60,42.50,42.70,42.60,42.50,42.50
Registered nurses,Newfoundland and Labrador,Sex,Female,5660.00,5654.00,5602.00,5503.00,5406.00,5441.00,5523.00,5506.00,5645.00,5817.00
Registered nurses,Newfoundland and Labrador,Sex,Male,348.00,369.00,367.00,366.00,365.00,394.00,421.00,421.00,457.00,498.00
Registered nurses,Newfoundland and Labrador,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Newfoundland and Labrador,Inflow,Total,452.00,448.00,383.00,377.00,366.00,438.00,484.00,431.00,585.00,1107.00
Registered nurses,Newfoundland and Labrador,Inflow,Age <35,327.00,330.00,297.00,274.00,263.00,326.00,315.00,310.00,364.00,654.00
Registered nurses,Newfoundland and Labrador,Inflow,Age 35-54,104.00,93.00,68.00,85.00,76.00,73.00,99.00,95.00,180.00,386.00
Registered nurses,Newfoundland and Labrador,Inflow,Age 55+,21.00,25.00,18.00,18.00,27.00,39.00,70.00,26.00,41.00,67.00
Registered nurses,Newfoundland and Labrador,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Newfoundland and Labrador,Outflow,Total,415.00,437.00,477.00,464.00,374.00,375.00,448.00,410.00,894.00,
Registered nurses,Newfoundland and Labrador,Outflow,Age <35,125.00,151.00,151.00,181.00,113.00,161.00,162.00,165.00,489.00,
Registered nurses,Newfoundland and Labrador,Outflow,Age 35-54,98.00,111.00,117.00,115.00,101.00,84.00,92.00,91.00,253.00,
Registered nurses,Newfoundland and Labrador,Outflow,Age 55+,192.00,175.00,209.00,168.00,160.00,130.00,194.00,154.00,152.00,
Registered nurses,Newfoundland and Labrador,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Registered nurses,Newfoundland and Labrador,Renewal,Total,5556.00,5819.00,5586.00,5492.00,5405.00,5397.00,5460.00,5496.00,5517.00,5208.00
Registered nurses,Newfoundland and Labrador,Renewal,Age <35,1352.00,1443.00,1433.00,1452.00,1399.00,1413.00,1444.00,1449.00,1470.00,1216.00
Registered nurses,Newfoundland and Labrador,Renewal,Age 35-54,3279.00,3420.00,3224.00,3138.00,3096.00,3022.00,2970.00,2961.00,2943.00,2828.00
Registered nurses,Newfoundland and Labrador,Renewal,Age 55+,925.00,956.00,929.00,902.00,910.00,962.00,1046.00,1086.00,1104.00,1164.00
Registered nurses,Newfoundland and Labrador,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Newfoundland and Labrador,Employment status,Employed in profession,5936.00,5901.00,5855.00,5737.00,5674.00,5725.00,5834.00,5829.00,5932.00,6208.00
Registered nurses,Newfoundland and Labrador,Employment status,Employed in other than profession and seeking employment in profession,3.00,16.00,9.00,13.00,13.00,14.00,17.00,8.00,69.00,27.00
Registered nurses,Newfoundland and Labrador,Employment status,Employed in other than profession and not seeking employment in profession,5.00,5.00,7.00,3.00,13.00,9.00,8.00,10.00,9.00,16.00
Registered nurses,Newfoundland and Labrador,Employment status,Not employed and seeking employment in profession,54.00,71.00,55.00,69.00,51.00,56.00,60.00,67.00,68.00,55.00
Registered nurses,Newfoundland and Labrador,Employment status,Not employed and not seeking employment in profession,10.00,18.00,16.00,18.00,11.00,28.00,25.00,13.00,11.00,9.00
Registered nurses,Newfoundland and Labrador,Employment status,Not stated,0.00,12.00,27.00,29.00,9.00,3.00,0.00,0.00,13.00,0.00
Registered nurses,Newfoundland and Labrador,Location of graduation,Canadian educated,5924.00,5942.00,5893.00,5798.00,5702.00,5753.00,5858.00,5836.00,5872.00,5892.00
Registered nurses,Newfoundland and Labrador,Location of graduation,Internationally educated,84.00,80.00,76.00,71.00,69.00,82.00,86.00,91.00,230.00,423.00
Registered nurses,Newfoundland and Labrador,Location of graduation,Not stated,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Newfoundland and Labrador,Years since graduation,<5 years,984.00,979.00,949.00,931.00,896.00,918.00,955.00,947.00,986.00,986.00
Registered nurses,Newfoundland and Labrador,Years since graduation,5-10 years,932.00,974.00,1017.00,1000.00,991.00,1040.00,1018.00,1009.00,984.00,990.00
Registered nurses,Newfoundland and Labrador,Years since graduation,11-20 years,1362.00,1379.00,1327.00,1352.00,1323.00,1432.00,1498.00,1550.00,1697.00,1853.00
Registered nurses,Newfoundland and Labrador,Years since graduation,21-30 years,1563.00,1517.00,1519.00,1502.00,1516.00,1393.00,1332.00,1288.00,1259.00,1290.00
Registered nurses,Newfoundland and Labrador,Years since graduation,31+ years,1167.00,1174.00,1157.00,1084.00,1045.00,1052.00,1141.00,1133.00,1175.00,1196.00
Registered nurses,Newfoundland and Labrador,Years since graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Registered nurses,Prince Edward Island,Supply,Total,1586.00,1611.00,1628.00,1666.00,1704.00,1707.00,1744.00,1837.00,1910.00,1922.00
Registered nurses,Prince Edward Island,Age,Age <25,40.00,41.00,40.00,53.00,65.00,57.00,60.00,79.00,59.00,49.00
Registered nurses,Prince Edward Island,Age,Age 25-34,329.00,357.00,393.00,415.00,440.00,449.00,489.00,516.00,554.00,554.00
Registered nurses,Prince Edward Island,Age,Age 35-44,289.00,303.00,311.00,325.00,339.00,373.00,393.00,444.00,498.00,537.00
Registered nurses,Prince Edward Island,Age,Age 45-54,457.00,435.00,398.00,383.00,372.00,362.00,340.00,337.00,333.00,321.00
Registered nurses,Prince Edward Island,Age,Age 55-64,363.00,357.00,373.00,370.00,373.00,356.00,354.00,359.00,363.00,354.00
Registered nurses,Prince Edward Island,Age,Age 65+,108.00,118.00,113.00,120.00,114.00,110.00,108.00,102.00,103.00,107.00
Registered nurses,Prince Edward Island,Age,Not stated,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Prince Edward Island,Age,Average age,46.40,46.00,45.50,45.20,44.70,44.40,43.90,43.30,43.10,43.00
Registered nurses,Prince Edward Island,Sex,Female,1529.00,1551.00,1563.00,1591.00,1625.00,1622.00,1651.00,1733.00,1789.00,1697.00
Registered nurses,Prince Edward Island,Sex,Male,57.00,60.00,65.00,75.00,79.00,85.00,93.00,104.00,121.00,106.00
Registered nurses,Prince Edward Island,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00
Registered nurses,Prince Edward Island,Inflow,Total,97.00,150.00,148.00,166.00,152.00,116.00,157.00,191.00,198.00,206.00
Registered nurses,Prince Edward Island,Inflow,Age <35,72.00,97.00,107.00,114.00,113.00,81.00,117.00,133.00,104.00,120.00
Registered nurses,Prince Edward Island,Inflow,Age 35-54,16.00,38.00,25.00,38.00,28.00,25.00,33.00,44.00,77.00,77.00
Registered nurses,Prince Edward Island,Inflow,Age 55+,9.00,15.00,16.00,14.00,10.00,10.00,7.00,14.00,17.00,9.00
Registered nurses,Prince Edward Island,Inflow,Age not stated,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Prince Edward Island,Outflow,Total,125.00,131.00,128.00,114.00,113.00,120.00,98.00,125.00,194.00,
Registered nurses,Prince Edward Island,Outflow,Age <35,40.00,46.00,50.00,38.00,31.00,40.00,27.00,43.00,69.00,
Registered nurses,Prince Edward Island,Outflow,Age 35-54,26.00,24.00,24.00,19.00,16.00,27.00,22.00,28.00,71.00,
Registered nurses,Prince Edward Island,Outflow,Age 55+,59.00,61.00,54.00,57.00,65.00,53.00,49.00,54.00,54.00,
Registered nurses,Prince Edward Island,Outflow,Age not stated,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,
Registered nurses,Prince Edward Island,Renewal,Total,1489.00,1461.00,1480.00,1500.00,1552.00,1591.00,1587.00,1646.00,1712.00,1716.00
Registered nurses,Prince Edward Island,Renewal,Age <35,297.00,301.00,326.00,354.00,392.00,425.00,432.00,462.00,509.00,483.00
Registered nurses,Prince Edward Island,Renewal,Age 35-54,730.00,700.00,684.00,670.00,683.00,710.00,700.00,737.00,754.00,781.00
Registered nurses,Prince Edward Island,Renewal,Age 55+,462.00,460.00,470.00,476.00,477.00,456.00,455.00,447.00,449.00,452.00
Registered nurses,Prince Edward Island,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Prince Edward Island,Employment status,Employed in profession,1523.00,1517.00,1547.00,1560.00,1612.00,1610.00,,,1869.00,1803.00
Registered nurses,Prince Edward Island,Employment status,Employed in other than profession and seeking employment in profession,0.00,0.00,0.00,2.00,1.00,1.00,,,0.00,2.00
Registered nurses,Prince Edward Island,Employment status,Employed in other than profession and not seeking employment in profession,0.00,2.00,2.00,2.00,1.00,2.00,,,0.00,3.00
Registered nurses,Prince Edward Island,Employment status,Not employed and seeking employment in profession,0.00,5.00,0.00,7.00,6.00,2.00,,,0.00,6.00
Registered nurses,Prince Edward Island,Employment status,Not employed and not seeking employment in profession,20.00,31.00,16.00,24.00,27.00,29.00,,,3.00,6.00
Registered nurses,Prince Edward Island,Employment status,Not stated,43.00,56.00,63.00,71.00,57.00,63.00,,,38.00,102.00
Registered nurses,Prince Edward Island,Location of graduation,Canadian educated,1547.00,1551.00,1552.00,1579.00,1623.00,1643.00,1665.00,1739.00,1788.00,1740.00
Registered nurses,Prince Edward Island,Location of graduation,Internationally educated,39.00,41.00,40.00,40.00,49.00,64.00,79.00,98.00,122.00,167.00
Registered nurses,Prince Edward Island,Location of graduation,Not stated,0.00,19.00,36.00,47.00,32.00,0.00,0.00,0.00,0.00,15.00
Registered nurses,Prince Edward Island,Years since graduation,<5 years,206.00,198.00,216.00,245.00,259.00,262.00,276.00,308.00,303.00,313.00
Registered nurses,Prince Edward Island,Years since graduation,5-10 years,273.00,300.00,303.00,303.00,327.00,329.00,336.00,358.00,377.00,359.00
Registered nurses,Prince Edward Island,Years since graduation,11-20 years,210.00,249.00,278.00,308.00,339.00,373.00,416.00,475.00,556.00,576.00
Registered nurses,Prince Edward Island,Years since graduation,21-30 years,390.00,377.00,350.00,337.00,304.00,282.00,267.00,241.00,228.00,222.00
Registered nurses,Prince Edward Island,Years since graduation,31+ years,507.00,487.00,481.00,473.00,474.00,461.00,449.00,455.00,446.00,442.00
Registered nurses,Prince Edward Island,Years since graduation,Not stated,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,10.00
Registered nurses,Nova Scotia,Supply,Total,9524.00,9489.00,9498.00,9442.00,9508.00,9783.00,10218.00,10334.00,10633.00,11574.00
Registered nurses,Nova Scotia,Age,Age <25,326.00,324.00,303.00,319.00,339.00,432.00,449.00,458.00,466.00,462.00
Registered nurses,Nova Scotia,Age,Age 25-34,1848.00,2018.00,2204.00,2351.00,2520.00,2733.00,2950.00,3013.00,3171.00,3467.00
Registered nurses,Nova Scotia,Age,Age 35-44,1738.00,1687.00,1714.00,1736.00,1764.00,1904.00,2043.00,2288.00,2590.00,3254.00
Registered nurses,Nova Scotia,Age,Age 45-54,2713.00,2606.00,2435.00,2240.00,2125.00,2004.00,1933.00,1861.00,1814.00,1843.00
Registered nurses,Nova Scotia,Age,Age 55-64,2446.00,2378.00,2337.00,2310.00,2256.00,2184.00,2229.00,2149.00,2027.00,1950.00
Registered nurses,Nova Scotia,Age,Age 65+,453.00,476.00,505.00,486.00,504.00,526.00,614.00,565.00,565.00,598.00
Registered nurses,Nova Scotia,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Nova Scotia,Age,Average age,46.40,46.00,45.60,45.10,44.60,43.80,43.70,43.30,42.80,42.30
Registered nurses,Nova Scotia,Sex,Female,9028.00,8955.00,8932.00,8865.00,8903.00,9117.00,9484.00,9540.00,9713.00,10420.00
Registered nurses,Nova Scotia,Sex,Male,496.00,534.00,566.00,576.00,605.00,666.00,734.00,786.00,894.00,1107.00
Registered nurses,Nova Scotia,Sex,Not stated,0.00,0.00,0.00,1.00,0.00,0.00,0.00,8.00,26.00,47.00
Registered nurses,Nova Scotia,Inflow,Total,715.00,724.00,783.00,792.00,858.00,1059.00,1153.00,1064.00,1299.00,1951.00
Registered nurses,Nova Scotia,Inflow,Age <35,500.00,526.00,558.00,553.00,615.00,782.00,692.00,668.00,813.00,1011.00
Registered nurses,Nova Scotia,Inflow,Age 35-54,170.00,159.00,175.00,190.00,195.00,227.00,249.00,307.00,407.00,860.00
Registered nurses,Nova Scotia,Inflow,Age 55+,45.00,39.00,50.00,49.00,48.00,50.00,212.00,89.00,79.00,80.00
Registered nurses,Nova Scotia,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Nova Scotia,Outflow,Total,759.00,774.00,848.00,792.00,784.00,718.00,948.00,1000.00,1010.00,
Registered nurses,Nova Scotia,Outflow,Age <35,221.00,230.00,225.00,246.00,270.00,252.00,346.00,386.00,419.00,
Registered nurses,Nova Scotia,Outflow,Age 35-54,167.00,177.00,193.00,193.00,138.00,142.00,161.00,222.00,285.00,
Registered nurses,Nova Scotia,Outflow,Age 55+,371.00,367.00,430.00,353.00,376.00,324.00,441.00,392.00,306.00,
Registered nurses,Nova Scotia,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Registered nurses,Nova Scotia,Renewal,Total,8809.00,8765.00,8715.00,8650.00,8650.00,8724.00,9065.00,9270.00,9334.00,9623.00
Registered nurses,Nova Scotia,Renewal,Age <35,1674.00,1816.00,1949.00,2117.00,2244.00,2383.00,2707.00,2803.00,2824.00,2918.00
Registered nurses,Nova Scotia,Renewal,Age 35-54,4281.00,4134.00,3974.00,3786.00,3694.00,3681.00,3727.00,3842.00,3997.00,4237.00
Registered nurses,Nova Scotia,Renewal,Age 55+,2854.00,2815.00,2792.00,2747.00,2712.00,2660.00,2631.00,2625.00,2513.00,2468.00
Registered nurses,Nova Scotia,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Nova Scotia,Employment status,Employed in profession,9153.00,9111.00,9073.00,8997.00,9061.00,9310.00,9543.00,9727.00,9939.00,10801.00
Registered nurses,Nova Scotia,Employment status,Employed in other than profession and seeking employment in profession,4.00,18.00,29.00,13.00,8.00,3.00,5.00,2.00,4.00,168.00
Registered nurses,Nova Scotia,Employment status,Employed in other than profession and not seeking employment in profession,0.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,31.00
Registered nurses,Nova Scotia,Employment status,Not employed and seeking employment in profession,5.00,1.00,5.00,11.00,16.00,15.00,26.00,19.00,684.00,314.00
Registered nurses,Nova Scotia,Employment status,Not employed and not seeking employment in profession,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,171.00
Registered nurses,Nova Scotia,Employment status,Not stated,361.00,356.00,389.00,421.00,423.00,454.00,643.00,586.00,0.00,89.00
Registered nurses,Nova Scotia,Location of graduation,Canadian educated,9186.00,9155.00,9154.00,9083.00,9106.00,9317.00,9672.00,9627.00,9710.00,9709.00
Registered nurses,Nova Scotia,Location of graduation,Internationally educated,338.00,334.00,344.00,359.00,402.00,466.00,545.00,705.00,901.00,1836.00
Registered nurses,Nova Scotia,Location of graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,22.00,29.00
Registered nurses,Nova Scotia,Years since graduation,<5 years,1338.00,1421.00,1532.00,1536.00,1595.00,1807.00,1862.00,1849.00,1836.00,1619.00
Registered nurses,Nova Scotia,Years since graduation,5-10 years,1431.00,1477.00,1538.00,1677.00,1787.00,1876.00,2001.00,2112.00,2304.00,2656.00
Registered nurses,Nova Scotia,Years since graduation,11-20 years,1291.00,1286.00,1397.00,1556.00,1701.00,1899.00,2153.00,2416.00,2728.00,3557.00
Registered nurses,Nova Scotia,Years since graduation,21-30 years,2336.00,2209.00,1989.00,1751.00,1624.00,1524.00,1470.00,1348.00,1283.00,1294.00
Registered nurses,Nova Scotia,Years since graduation,31+ years,3128.00,3096.00,3042.00,2922.00,2801.00,2677.00,2731.00,2609.00,2467.00,2413.00
Registered nurses,Nova Scotia,Years since graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,15.00,35.00
Registered nurses,New Brunswick,Supply,Total,8240.00,8033.00,8045.00,8037.00,8019.00,7974.00,8045.00,8019.00,7976.00,8275.00
Registered nurses,New Brunswick,Age,Age <25,247.00,190.00,187.00,210.00,192.00,159.00,172.00,165.00,199.00,253.00
Registered nurses,New Brunswick,Age,Age 25-34,1759.00,1703.00,1709.00,1743.00,1809.00,1807.00,1764.00,1761.00,1819.00,1916.00
Registered nurses,New Brunswick,Age,Age 35-44,1730.00,1721.00,1807.00,1787.00,1776.00,1814.00,1885.00,1972.00,2090.00,2370.00
Registered nurses,New Brunswick,Age,Age 45-54,2513.00,2424.00,2342.00,2282.00,2189.00,2041.00,1981.00,1863.00,1809.00,1741.00
Registered nurses,New Brunswick,Age,Age 55-64,1717.00,1708.00,1703.00,1706.00,1715.00,1784.00,1786.00,1783.00,1680.00,1649.00
Registered nurses,New Brunswick,Age,Age 65+,274.00,287.00,297.00,309.00,338.00,369.00,457.00,475.00,379.00,346.00
Registered nurses,New Brunswick,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,New Brunswick,Age,Average age,45.00,45.20,45.10,45.00,45.00,45.20,45.40,45.40,44.60,43.90
Registered nurses,New Brunswick,Sex,Female,7796.00,7592.00,7594.00,7582.00,7554.00,7495.00,7558.00,7529.00,7399.00,7588.00
Registered nurses,New Brunswick,Sex,Male,444.00,441.00,451.00,455.00,465.00,479.00,487.00,490.00,521.00,573.00
Registered nurses,New Brunswick,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,114.00
Registered nurses,New Brunswick,Inflow,Total,515.00,370.00,539.00,528.00,536.00,525.00,697.00,651.00,821.00,1068.00
Registered nurses,New Brunswick,Inflow,Age <35,373.00,243.00,356.00,383.00,389.00,334.00,368.00,405.00,490.00,581.00
Registered nurses,New Brunswick,Inflow,Age 35-54,119.00,99.00,135.00,105.00,110.00,118.00,170.00,174.00,276.00,426.00
Registered nurses,New Brunswick,Inflow,Age 55+,23.00,28.00,48.00,40.00,37.00,73.00,159.00,72.00,55.00,61.00
Registered nurses,New Brunswick,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,New Brunswick,Outflow,Total,577.00,527.00,536.00,554.00,570.00,626.00,677.00,864.00,769.00,
Registered nurses,New Brunswick,Outflow,Age <35,170.00,141.00,165.00,167.00,208.00,215.00,228.00,218.00,237.00,
Registered nurses,New Brunswick,Outflow,Age 35-54,127.00,122.00,112.00,123.00,127.00,104.00,159.00,193.00,204.00,
Registered nurses,New Brunswick,Outflow,Age 55+,280.00,264.00,259.00,264.00,235.00,307.00,290.00,453.00,328.00,
Registered nurses,New Brunswick,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Registered nurses,New Brunswick,Renewal,Total,7725.00,7663.00,7506.00,7509.00,7483.00,7449.00,7348.00,7368.00,7155.00,7207.00
Registered nurses,New Brunswick,Renewal,Age <35,1633.00,1650.00,1540.00,1570.00,1612.00,1632.00,1568.00,1521.00,1528.00,1588.00
Registered nurses,New Brunswick,Renewal,Age 35-54,4124.00,4046.00,4014.00,3964.00,3855.00,3737.00,3696.00,3661.00,3623.00,3685.00
Registered nurses,New Brunswick,Renewal,Age 55+,1968.00,1967.00,1952.00,1975.00,2016.00,2080.00,2084.00,2186.00,2004.00,1934.00
Registered nurses,New Brunswick,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,New Brunswick,Employment status,Employed in profession,7855.00,7716.00,7759.00,7713.00,7749.00,7695.00,7535.00,7422.00,7490.00,7511.00
Registered nurses,New Brunswick,Employment status,Employed in other than profession and seeking employment in profession,6.00,3.00,3.00,6.00,4.00,4.00,4.00,12.00,0.00,0.00
Registered nurses,New Brunswick,Employment status,Employed in other than profession and not seeking employment in profession,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,New Brunswick,Employment status,Not employed and seeking employment in profession,22.00,29.00,24.00,25.00,16.00,23.00,7.00,35.00,0.00,0.00
Registered nurses,New Brunswick,Employment status,Not employed and not seeking employment in profession,189.00,138.00,139.00,148.00,69.00,73.00,47.00,53.00,52.00,21.00
Registered nurses,New Brunswick,Employment status,Not stated,164.00,146.00,120.00,145.00,181.00,179.00,452.00,497.00,434.00,743.00
Registered nurses,New Brunswick,Location of graduation,Canadian educated,8093.00,7893.00,7909.00,7901.00,7889.00,7841.00,7894.00,7792.00,7593.00,7599.00
Registered nurses,New Brunswick,Location of graduation,Internationally educated,147.00,140.00,136.00,136.00,130.00,133.00,151.00,227.00,318.00,638.00
Registered nurses,New Brunswick,Location of graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,38.00
Registered nurses,New Brunswick,Years since graduation,<5 years,994.00,871.00,902.00,921.00,937.00,866.00,824.00,773.00,856.00,1025.00
Registered nurses,New Brunswick,Years since graduation,5-10 years,1336.00,1347.00,1355.00,1382.00,1385.00,1378.00,1350.00,1374.00,1376.00,1264.00
Registered nurses,New Brunswick,Years since graduation,11-20 years,1562.00,1535.00,1538.00,1639.00,1767.00,1892.00,2065.00,2206.00,2360.00,2453.00
Registered nurses,New Brunswick,Years since graduation,21-30 years,2259.00,2229.00,2201.00,2016.00,1825.00,1678.00,1568.00,1431.00,1384.00,1352.00
Registered nurses,New Brunswick,Years since graduation,31+ years,2089.00,2051.00,2049.00,2079.00,2105.00,2160.00,2238.00,2235.00,2000.00,1914.00
Registered nurses,New Brunswick,Years since graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,267.00
Registered nurses,Quebec,Supply,Total,70042.00,70600.00,70629.00,71479.00,72695.00,73337.00,76712.00,77261.00,78255.00,80077.00
Registered nurses,Quebec,Age,Age <25,3937.00,4033.00,3948.00,3868.00,3812.00,3306.00,3541.00,3453.00,3316.00,3582.00
Registered nurses,Quebec,Age,Age 25-34,17578.00,17803.00,18322.00,18753.00,19164.00,19469.00,20159.00,20322.00,20517.00,20627.00
Registered nurses,Quebec,Age,Age 35-44,17497.00,18239.00,18881.00,19631.00,20456.00,20866.00,21598.00,21847.00,22141.00,22871.00
Registered nurses,Quebec,Age,Age 45-54,17759.00,17498.00,17301.00,17181.00,17143.00,17469.00,17962.00,18241.00,18544.00,19047.00
Registered nurses,Quebec,Age,Age 55-64,11383.00,11154.00,10426.00,10327.00,10293.00,10295.00,10791.00,10736.00,11041.00,11196.00
Registered nurses,Quebec,Age,Age 65+,1888.00,1873.00,1751.00,1719.00,1827.00,1932.00,2661.00,2662.00,2696.00,2754.00
Registered nurses,Quebec,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Quebec,Age,Average age,42.50,42.30,41.90,41.80,41.70,41.90,42.10,42.10,42.30,42.30
Registered nurses,Quebec,Sex,Female,62425.00,62839.00,62755.00,63396.00,64369.00,64838.00,67723.00,68151.00,68989.00,70427.00
Registered nurses,Quebec,Sex,Male,7617.00,7761.00,7874.00,8083.00,8326.00,8499.00,8989.00,9110.00,9266.00,9650.00
Registered nurses,Quebec,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Quebec,Inflow,Total,4895.00,4971.00,4848.00,5011.00,5173.00,4894.00,7438.00,5269.00,5578.00,6071.00
Registered nurses,Quebec,Inflow,Age <35,3646.00,3452.00,3556.00,3476.00,3635.00,2949.00,4152.00,3339.00,3134.00,3710.00
Registered nurses,Quebec,Inflow,Age 35-54,1044.00,1152.00,1151.00,1339.00,1324.00,1454.00,2002.00,1490.00,1495.00,2079.00
Registered nurses,Quebec,Inflow,Age 55+,205.00,367.00,141.00,196.00,214.00,491.00,1284.00,440.00,949.00,282.00
Registered nurses,Quebec,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered nurses,Quebec,Outflow,Total,4413.00,4819.00,4161.00,3957.00,4252.00,4063.00,4720.00,4584.00,4249.00,
Registered nurses,Quebec,Outflow,Age <35,1233.00,1229.00,1229.00,1256.00,1256.00,1392.00,1436.00,1252.00,1321.00,
